      STEP        STATUS_STACK                  SYMBOL_STACK                                                                                                                                                 INPUT
        12          0 7 10 13 16 23 39 21                             #FunSpecifier<ID>CreateFunTable_m(ParamDec,VarSpecifier                                                                                                                                                  <ID>,int<ID>){int<ID>;int<ID>;<ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
        13          0 7 10 13 16 23 39 21 37                             #FunSpecifier<ID>CreateFunTable_m(ParamDec,VarSpecifier<ID>                                                                                                                                                     ,int<ID>){int<ID>;int<ID>;<ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
        14          0 7 10 13 16 23 39 23                             #FunSpecifier<ID>CreateFunTable_m(ParamDec,ParamDec                                                                                                                                                     ,int<ID>){int<ID>;int<ID>;<ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
        15          0 7 10 13 16 23 39 23 39                             #FunSpecifier<ID>CreateFunTable_m(ParamDec,ParamDec,                                                                                                                                                   int<ID>){int<ID>;int<ID>;<ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
        16          0 7 10 13 16 23 39 23 39 17                             #FunSpecifier<ID>CreateFunTable_m(ParamDec,ParamDec,int                                                                                                                                                  <ID>){int<ID>;int<ID>;<ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
        17          0 7 10 13 16 23 39 23 39 21                             #FunSpecifier<ID>CreateFunTable_m(ParamDec,ParamDec,VarSpecifier                                                                                                                                                  <ID>){int<ID>;int<ID>;<ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
        18          0 7 10 13 16 23 39 23 39 21 37                             #FunSpecifier<ID>CreateFunTable_m(ParamDec,ParamDec,VarSpecifier<ID>                                                                                                                                                     ){int<ID>;int<ID>;<ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
        19          0 7 10 13 16 23 39 23 39 23                             #FunSpecifier<ID>CreateFunTable_m(ParamDec,ParamDec,ParamDec                                                                                                                                                     ){int<ID>;int<ID>;<ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
        20          0 7 10 13 16 23 39 23 39 58                             #FunSpecifier<ID>CreateFunTable_m(ParamDec,ParamDec,VarList                                                                                                                                                     ){int<ID>;int<ID>;<ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
        21          0 7 10 13 16 23 39 58                             #FunSpecifier<ID>CreateFunTable_m(ParamDec,VarList                                                                                                                                                     ){int<ID>;int<ID>;<ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
        22          0 7 10 13 16 22                             #FunSpecifier<ID>CreateFunTable_m(VarList                                                                                                                                                     ){int<ID>;int<ID>;<ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
        23          0 7 10 13 16 22 38                             #FunSpecifier<ID>CreateFunTable_m(VarList)                                                                                                                                                     {int<ID>;int<ID>;<ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
        24          0 7 11                             #FunSpecifierFunDec                                                                                                                                                     {int<ID>;int<ID>;<ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
        25          0 7 11 14                             #FunSpecifierFunDec{                                                                                                                                                   int<ID>;int<ID>;<ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
        26          0 7 11 14 17                             #FunSpecifierFunDec{int                                                                                                                                                  <ID>;int<ID>;<ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
        27          0 7 11 14 18                             #FunSpecifierFunDec{VarSpecifier                                                                                                                                                  <ID>;int<ID>;<ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
        28          0 7 11 14 18 24                             #FunSpecifierFunDec{VarSpecifier<ID>                                                                                                                                                     ;int<ID>;<ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
        29          0 7 11 14 18 24 40                             #FunSpecifierFunDec{VarSpecifier<ID>;                                                                                                                                                   int<ID>;<ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
        30          0 7 11 14 20                             #FunSpecifierFunDec{Def                                                                                                                                                   int<ID>;<ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
        31          0 7 11 14 20 17                             #FunSpecifierFunDec{Defint                                                                                                                                                  <ID>;<ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
        32          0 7 11 14 20 18                             #FunSpecifierFunDec{DefVarSpecifier                                                                                                                                                  <ID>;<ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
        33          0 7 11 14 20 18 24                             #FunSpecifierFunDec{DefVarSpecifier<ID>                                                                                                                                                     ;<ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
        34          0 7 11 14 20 18 24 40                             #FunSpecifierFunDec{DefVarSpecifier<ID>;                                                                                                                                                  <ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
        35          0 7 11 14 20 20                             #FunSpecifierFunDec{DefDef                                                                                                                                                  <ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
        36          0 7 11 14 20 20 36                             #FunSpecifierFunDec{DefDefDefList                                                                                                                                                  <ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
        37          0 7 11 14 20 36                             #FunSpecifierFunDec{DefDefList                                                                                                                                                  <ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
        38          0 7 11 14 19                             #FunSpecifierFunDec{DefList                                                                                                                                                  <ID>=<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
        39          0 7 11 14 19 28                             #FunSpecifierFunDec{DefList<ID>                                                                                                                                                     =<INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
        40          0 7 11 14 19 28 52                             #FunSpecifierFunDec{DefList<ID>=                                                                                                                                                 <INT>;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
        41          0 7 11 14 19 28 52 42                             #FunSpecifierFunDec{DefList<ID>=<INT>                                                                                                                                                     ;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
        42          0 7 11 14 19 28 52 48                             #FunSpecifierFunDec{DefList<ID>=Factor                                                                                                                                                     ;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
        43          0 7 11 14 19 28 52 47                             #FunSpecifierFunDec{DefList<ID>=Item                                                                                                                                                     ;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
        44          0 7 11 14 19 28 52 46                             #FunSpecifierFunDec{DefList<ID>=AddSubExp                                                                                                                                                     ;if(<ID>>(<ID>+<ID>)){<ID>=<ID>+(<ID>*<ID>+<INT>);}else{<ID>=<ID>;}<ID>=<ID>*<INT>;while(<ID><=<INT>){<ID>=<ID>*<INT>;}return<ID>;}int<ID>(int<ID>){<ID>=<ID>+<INT>;return<ID>*<INT>;}void<ID>(){int<ID>;int<ID>;int<ID>;<ID>=<INT>;<ID>=<INT>;<ID>=<INT>;<ID>=<ID>(<ID>,<ID>,<ID>());return;}#
